"year","quarter","state.fips","teen.emp.rate","min.wage"
1979,1,1,0.3369,2.9
1979,2,1,0.395,2.9
1979,3,1,0.4106,2.9
1979,4,1,0.3343,2.9
1980,1,1,0.3166,3.1
1980,2,1,0.3206,3.1
1980,3,1,0.3548,3.1
1980,4,1,0.3347,3.1
1981,1,1,0.3363,3.35
1981,2,1,0.331,3.35
1981,3,1,0.3485,3.35
1981,4,1,0.319,3.35
1982,1,1,0.2745,3.35
1982,2,1,0.3075,3.35
1982,3,1,0.2911,3.35
1982,4,1,0.3254,3.35
1983,1,1,0.2195,3.35
1983,2,1,0.3095,3.35
1983,3,1,0.351,3.35
1983,4,1,0.3573,3.35
1984,1,1,0.3009,3.35
1984,2,1,0.3446,3.35
1984,3,1,0.3639,3.35
1984,4,1,0.3403,3.35
1985,1,1,0.4004,3.35
1985,2,1,0.4241,3.35
1985,3,1,0.4335,3.35
1985,4,1,0.3204,3.35
1986,1,1,0.3456,3.35
1986,2,1,0.3193,3.35
1986,3,1,0.3235,3.35
1986,4,1,0.3213,3.35
1987,1,1,0.347,3.35
1987,2,1,0.3521,3.35
1987,3,1,0.3549,3.35
1987,4,1,0.3401,3.35
1988,1,1,0.3079,3.35
1988,2,1,0.3904,3.35
1988,3,1,0.41,3.35
1988,4,1,0.408,3.35
1989,1,1,0.3424,3.35
1989,2,1,0.4109,3.35
1989,3,1,0.4044,3.35
1989,4,1,0.4147,3.35
1990,1,1,0.3503,3.35
1990,2,1,0.4386,3.8
1990,3,1,0.4392,3.8
1990,4,1,0.3018,3.8
1991,1,1,0.3435,3.8
1991,2,1,0.3749,4.25
1991,3,1,0.4249,4.25
1991,4,1,0.3067,4.25
1992,1,1,0.3436,4.25
1992,2,1,0.3783,4.25
1992,3,1,0.4187,4.25
1992,4,1,0.339,4.25
1993,1,1,0.3786,4.25
1993,2,1,0.3629,4.25
1993,3,1,0.4416,4.25
1993,4,1,0.3185,4.25
1994,1,1,0.2971,4.25
1994,2,1,0.4013,4.25
1994,3,1,0.4166,4.25
1994,4,1,0.3718,4.25
1995,1,1,0.3803,4.25
1995,2,1,0.4365,4.25
1995,3,1,0.4454,4.25
1995,4,1,0.4569,4.25
1996,1,1,0.4201,4.25
1996,2,1,0.3662,4.25
1996,3,1,0.4348,4.25
1996,4,1,0.418,4.75
1997,1,1,0.366,4.75
1997,2,1,0.3554,4.75
1997,3,1,0.4047,4.88
1997,4,1,0.4088,5.15
1998,1,1,0.3712,5.15
1998,2,1,0.4834,5.15
1998,3,1,0.5139,5.15
1998,4,1,0.4017,5.15
1999,1,1,0.3605,5.15
1999,2,1,0.4132,5.15
1999,3,1,0.4484,5.15
1999,4,1,0.3343,5.15
2000,1,1,0.3606,5.15
2000,2,1,0.4003,5.15
2000,3,1,0.3818,5.15
2000,4,1,0.3085,5.15
2001,1,1,0.3443,5.15
2001,2,1,0.4094,5.15
2001,3,1,0.4062,5.15
2001,4,1,0.3609,5.15
2002,1,1,0.2694,5.15
2002,2,1,0.3206,5.15
2002,3,1,0.4124,5.15
2002,4,1,0.358,5.15
2003,1,1,0.3457,5.15
2003,2,1,0.3089,5.15
2003,3,1,0.3376,5.15
2003,4,1,0.3295,5.15
2004,1,1,0.322,5.15
2004,2,1,0.3409,5.15
2004,3,1,0.3521,5.15
2004,4,1,0.3326,5.15
2005,1,1,0.3,5.15
2005,2,1,0.3035,5.15
2005,3,1,0.3316,5.15
2005,4,1,0.3035,5.15
2006,1,1,0.3725,5.15
2006,2,1,0.2945,5.15
2006,3,1,0.3443,5.15
2006,4,1,0.2985,5.15
2007,1,1,0.3616,5.15
2007,2,1,0.2872,5.15
2007,3,1,0.2599,5.68
2007,4,1,0.3242,5.85
2008,1,1,0.2371,5.85
2008,2,1,0.3419,5.85
2008,3,1,0.329,6.38
2008,4,1,0.2893,6.55
2009,1,1,0.2716,6.55
2009,2,1,0.2829,6.55
2009,3,1,0.2805,7.07
2009,4,1,0.2814,7.25
2010,1,1,0.2205,7.25
2010,2,1,0.2548,7.25
2010,3,1,0.2406,7.25
2010,4,1,0.1827,7.25
2011,1,1,0.2427,7.25
2011,2,1,0.2959,7.25
2011,3,1,0.2367,7.25
2011,4,1,0.2496,7.25
2012,1,1,0.2084,7.25
2012,2,1,0.2194,7.25
2012,3,1,0.2488,7.25
2012,4,1,0.3104,7.25
2013,1,1,0.2333,7.25
2013,2,1,0.2005,7.25
2013,3,1,0.1901,7.25
2013,4,1,0.1909,7.25
2014,1,1,0.2288,7.25
2014,2,1,0.2028,7.25
2014,3,1,0.1641,7.25
2014,4,1,0.1479,7.25
2015,1,1,0.239,7.25
2015,2,1,0.2787,7.25
2015,3,1,0.2792,7.25
2015,4,1,0.2718,7.25
2016,1,1,0.2402,7.25
2016,2,1,0.2333,7.25
2016,3,1,0.2908,7.25
2016,4,1,0.3146,7.25
2017,1,1,0.2154,7.25
2017,2,1,0.2299,7.25
2017,3,1,0.2846,7.25
2017,4,1,0.2636,7.25
2018,1,1,0.2559,7.25
2018,2,1,0.2561,7.25
2018,3,1,0.3139,7.25
2018,4,1,0.3004,7.25
2019,1,1,0.2472,7.25
2019,2,1,0.2942,7.25
2019,3,1,0.3253,7.25
2019,4,1,0.253,7.25
1979,1,2,0.3866,3.4
1979,2,2,0.4969,3.4
1979,3,2,0.6282,3.4
1979,4,2,0.4831,3.4
1980,1,2,0.332,3.6
1980,2,2,0.4163,3.6
1980,3,2,0.5352,3.6
1980,4,2,0.346,3.6
1981,1,2,0.337,3.85
1981,2,2,0.4917,3.85
1981,3,2,0.5285,3.85
1981,4,2,0.4406,3.85
1982,1,2,0.3649,3.85
1982,2,2,0.4832,3.85
1982,3,2,0.5331,3.85
1982,4,2,0.4267,3.85
1983,1,2,0.3587,3.85
1983,2,2,0.4588,3.85
1983,3,2,0.5744,3.85
1983,4,2,0.3291,3.85
1984,1,2,0.3373,3.85
1984,2,2,0.3875,3.85
1984,3,2,0.5424,3.85
1984,4,2,0.4501,3.85
1985,1,2,0.3226,3.85
1985,2,2,0.3989,3.85
1985,3,2,0.5269,3.85
1985,4,2,0.3724,3.85
1986,1,2,0.3348,3.85
1986,2,2,0.4346,3.85
1986,3,2,0.4777,3.85
1986,4,2,0.3817,3.85
1987,1,2,0.3398,3.85
1987,2,2,0.437,3.85
1987,3,2,0.5253,3.85
1987,4,2,0.4471,3.85
1988,1,2,0.3312,3.85
1988,2,2,0.4718,3.85
1988,3,2,0.5441,3.85
1988,4,2,0.414,3.85
1989,1,2,0.3459,3.85
1989,2,2,0.4674,3.85
1989,3,2,0.5817,3.85
1989,4,2,0.3711,3.85
1990,1,2,0.3987,3.85
1990,2,2,0.4273,4.3
1990,3,2,0.5138,4.3
1990,4,2,0.3725,4.3
1991,1,2,0.3135,4.3
1991,2,2,0.4032,4.75
1991,3,2,0.4764,4.75
1991,4,2,0.3371,4.75
1992,1,2,0.2904,4.75
1992,2,2,0.4243,4.75
1992,3,2,0.5024,4.75
1992,4,2,0.3598,4.75
1993,1,2,0.3517,4.75
1993,2,2,0.422,4.75
1993,3,2,0.4674,4.75
1993,4,2,0.4021,4.75
1994,1,2,0.3243,4.75
1994,2,2,0.4019,4.75
1994,3,2,0.5253,4.75
1994,4,2,0.3524,4.75
1995,1,2,0.395,4.75
1995,2,2,0.3787,4.75
1995,3,2,0.5165,4.75
1995,4,2,0.4269,4.75
1996,1,2,0.322,4.75
1996,2,2,0.3835,4.75
1996,3,2,0.4745,4.75
1996,4,2,0.3935,5.25
1997,1,2,0.3278,5.25
1997,2,2,0.4502,5.25
1997,3,2,0.4907,5.38
1997,4,2,0.3226,5.65
1998,1,2,0.3817,5.65
1998,2,2,0.434,5.65
1998,3,2,0.4585,5.65
1998,4,2,0.3887,5.65
1999,1,2,0.3322,5.65
1999,2,2,0.4535,5.65
1999,3,2,0.5409,5.65
1999,4,2,0.412,5.65
2000,1,2,0.3378,5.65
2000,2,2,0.4356,5.65
2000,3,2,0.5096,5.65
2000,4,2,0.4282,5.65
2001,1,2,0.3656,5.65
2001,2,2,0.4781,5.65
2001,3,2,0.4782,5.65
2001,4,2,0.3284,5.65
2002,1,2,0.3456,5.65
2002,2,2,0.4278,5.65
2002,3,2,0.4716,5.65
2002,4,2,0.3794,5.65
2003,1,2,0.3501,7.15
2003,2,2,0.3393,7.15
2003,3,2,0.3967,7.15
2003,4,2,0.3665,7.15
2004,1,2,0.3212,7.15
2004,2,2,0.4028,7.15
2004,3,2,0.4247,7.15
2004,4,2,0.3241,7.15
2005,1,2,0.3902,7.15
2005,2,2,0.4607,7.15
2005,3,2,0.4855,7.15
2005,4,2,0.4002,7.15
2006,1,2,0.4115,7.15
2006,2,2,0.4278,7.15
2006,3,2,0.5064,7.15
2006,4,2,0.4023,7.15
2007,1,2,0.3162,7.15
2007,2,2,0.4336,7.15
2007,3,2,0.479,7.15
2007,4,2,0.3123,7.15
2008,1,2,0.3438,7.15
2008,2,2,0.4132,7.15
2008,3,2,0.4916,7.15
2008,4,2,0.3405,7.15
2009,1,2,0.384,7.15
2009,2,2,0.3493,7.15
2009,3,2,0.4553,7.22
2009,4,2,0.3183,7.25
2010,1,2,0.3441,7.75
2010,2,2,0.3415,7.75
2010,3,2,0.3965,7.75
2010,4,2,0.3571,7.75
2011,1,2,0.2969,7.75
2011,2,2,0.3088,7.75
2011,3,2,0.3657,7.75
2011,4,2,0.3114,7.75
2012,1,2,0.3013,7.75
2012,2,2,0.3042,7.75
2012,3,2,0.3221,7.75
2012,4,2,0.2595,7.75
2013,1,2,0.3039,7.75
2013,2,2,0.3658,7.75
2013,3,2,0.3803,7.75
2013,4,2,0.3573,7.75
2014,1,2,0.2913,7.75
2014,2,2,0.3263,7.75
2014,3,2,0.401,7.75
2014,4,2,0.3227,7.75
2015,1,2,0.2811,8.75
2015,2,2,0.3935,8.75
2015,3,2,0.4084,8.75
2015,4,2,0.2839,8.75
2016,1,2,0.1852,9.75
2016,2,2,0.3194,9.75
2016,3,2,0.3523,9.75
2016,4,2,0.2871,9.75
2017,1,2,0.2383,9.8
2017,2,2,0.1869,9.8
2017,3,2,0.3051,9.8
2017,4,2,0.2692,9.8
2018,1,2,0.3183,9.84
2018,2,2,0.2976,9.84
2018,3,2,0.3018,9.84
2018,4,2,0.2472,9.84
2019,1,2,0.2498,9.89
2019,2,2,0.3085,9.89
2019,3,2,0.4625,9.89
2019,4,2,0.3528,9.89
1979,1,4,0.5467,2.9
1979,2,4,0.5366,2.9
1979,3,4,0.5886,2.9
1979,4,4,0.4862,2.9
1980,1,4,0.5104,3.1
1980,2,4,0.5182,3.1
1980,3,4,0.5305,3.1
1980,4,4,0.5102,3.1
1981,1,4,0.494,3.35
1981,2,4,0.5287,3.35
1981,3,4,0.5316,3.35
1981,4,4,0.4739,3.35
1982,1,4,0.4587,3.35
1982,2,4,0.463,3.35
1982,3,4,0.4718,3.35
1982,4,4,0.4634,3.35
1983,1,4,0.4522,3.35
1983,2,4,0.4254,3.35
1983,3,4,0.5142,3.35
1983,4,4,0.4518,3.35
1984,1,4,0.5127,3.35
1984,2,4,0.571,3.35
1984,3,4,0.6046,3.35
1984,4,4,0.5052,3.35
1985,1,4,0.5027,3.35
1985,2,4,0.4687,3.35
1985,3,4,0.5308,3.35
1985,4,4,0.4525,3.35
1986,1,4,0.5612,3.35
1986,2,4,0.5733,3.35
1986,3,4,0.5147,3.35
1986,4,4,0.5058,3.35
1987,1,4,0.4404,3.35
1987,2,4,0.4668,3.35
1987,3,4,0.4992,3.35
1987,4,4,0.431,3.35
1988,1,4,0.3343,3.35
1988,2,4,0.4789,3.35
1988,3,4,0.5371,3.35
1988,4,4,0.4951,3.35
1989,1,4,0.4172,3.35
1989,2,4,0.5241,3.35
1989,3,4,0.5283,3.35
1989,4,4,0.4972,3.35
1990,1,4,0.4686,3.35
1990,2,4,0.4431,3.8
1990,3,4,0.4834,3.8
1990,4,4,0.4656,3.8
1991,1,4,0.4665,3.8
1991,2,4,0.3532,4.25
1991,3,4,0.4468,4.25
1991,4,4,0.3129,4.25
1992,1,4,0.2979,4.25
1992,2,4,0.3635,4.25
1992,3,4,0.4468,4.25
1992,4,4,0.3193,4.25
1993,1,4,0.3987,4.25
1993,2,4,0.449,4.25
1993,3,4,0.4609,4.25
1993,4,4,0.4327,4.25
1994,1,4,0.4898,4.25
1994,2,4,0.5333,4.25
1994,3,4,0.4727,4.25
1994,4,4,0.5027,4.25
1995,1,4,0.5104,4.25
1995,2,4,0.5137,4.25
1995,3,4,0.543,4.25
1995,4,4,0.5038,4.25
1996,1,4,0.423,4.25
1996,2,4,0.478,4.25
1996,3,4,0.4407,4.25
1996,4,4,0.4566,4.75
1997,1,4,0.3581,4.75
1997,2,4,0.4531,4.75
1997,3,4,0.466,4.88
1997,4,4,0.4189,5.15
1998,1,4,0.4049,5.15
1998,2,4,0.429,5.15
1998,3,4,0.4921,5.15
1998,4,4,0.4223,5.15
1999,1,4,0.3912,5.15
1999,2,4,0.4851,5.15
1999,3,4,0.4709,5.15
1999,4,4,0.4282,5.15
2000,1,4,0.5094,5.15
2000,2,4,0.4817,5.15
2000,3,4,0.424,5.15
2000,4,4,0.442,5.15
2001,1,4,0.4808,5.15
2001,2,4,0.4722,5.15
2001,3,4,0.4114,5.15
2001,4,4,0.4929,5.15
2002,1,4,0.3855,5.15
2002,2,4,0.363,5.15
2002,3,4,0.3209,5.15
2002,4,4,0.3323,5.15
2003,1,4,0.3096,5.15
2003,2,4,0.4189,5.15
2003,3,4,0.4031,5.15
2003,4,4,0.369,5.15
2004,1,4,0.3798,5.15
2004,2,4,0.3594,5.15
2004,3,4,0.3357,5.15
2004,4,4,0.4231,5.15
2005,1,4,0.3856,5.15
2005,2,4,0.3753,5.15
2005,3,4,0.4269,5.15
2005,4,4,0.3977,5.15
2006,1,4,0.4359,5.15
2006,2,4,0.3474,5.15
2006,3,4,0.457,5.15
2006,4,4,0.425,5.15
2007,1,4,0.3273,6.75
2007,2,4,0.2961,6.75
2007,3,4,0.3668,6.75
2007,4,4,0.3935,6.75
2008,1,4,0.3241,6.9
2008,2,4,0.2574,6.9
2008,3,4,0.3775,6.9
2008,4,4,0.3101,6.9
2009,1,4,0.232,7.25
2009,2,4,0.2416,7.25
2009,3,4,0.2759,7.25
2009,4,4,0.1935,7.25
2010,1,4,0.1405,7.25
2010,2,4,0.2134,7.25
2010,3,4,0.2761,7.25
2010,4,4,0.2292,7.25
2011,1,4,0.2476,7.35
2011,2,4,0.2523,7.35
2011,3,4,0.2216,7.35
2011,4,4,0.2425,7.35
2012,1,4,0.194,7.65
2012,2,4,0.2971,7.65
2012,3,4,0.2254,7.65
2012,4,4,0.3242,7.65
2013,1,4,0.2522,7.8
2013,2,4,0.2011,7.8
2013,3,4,0.2046,7.8
2013,4,4,0.239,7.8
2014,1,4,0.2451,7.9
2014,2,4,0.2964,7.9
2014,3,4,0.2348,7.9
2014,4,4,0.29,7.9
2015,1,4,0.2778,8.05
2015,2,4,0.3333,8.05
2015,3,4,0.2882,8.05
2015,4,4,0.311,8.05
2016,1,4,0.2783,8.05
2016,2,4,0.3139,8.05
2016,3,4,0.3253,8.05
2016,4,4,0.3633,8.05
2017,1,4,0.3466,10
2017,2,4,0.3195,10
2017,3,4,0.2874,10
2017,4,4,0.2931,10
2018,1,4,0.2575,10.5
2018,2,4,0.2697,10.5
2018,3,4,0.3213,10.5
2018,4,4,0.2823,10.5
2019,1,4,0.3188,11
2019,2,4,0.3589,11
2019,3,4,0.3746,11
2019,4,4,0.2987,11
1979,1,5,0.3885,2.9
1979,2,5,0.467,2.9
1979,3,5,0.5309,2.9
1979,4,5,0.4359,2.9
1980,1,5,0.3854,3.1
1980,2,5,0.4374,3.1
1980,3,5,0.4817,3.1
1980,4,5,0.4092,3.1
1981,1,5,0.3878,3.35
1981,2,5,0.5109,3.35
1981,3,5,0.5407,3.35
1981,4,5,0.3441,3.35
1982,1,5,0.2972,3.35
1982,2,5,0.4299,3.35
1982,3,5,0.4493,3.35
1982,4,5,0.3964,3.35
1983,1,5,0.3219,3.35
1983,2,5,0.3997,3.35
1983,3,5,0.4723,3.35
1983,4,5,0.3557,3.35
1984,1,5,0.3219,3.35
1984,2,5,0.4111,3.35
1984,3,5,0.4759,3.35
1984,4,5,0.3264,3.35
1985,1,5,0.3076,3.35
1985,2,5,0.4046,3.35
1985,3,5,0.4085,3.35
1985,4,5,0.3393,3.35
1986,1,5,0.3723,3.35
1986,2,5,0.3938,3.35
1986,3,5,0.4663,3.35
1986,4,5,0.42,3.35
1987,1,5,0.3178,3.35
1987,2,5,0.3939,3.35
1987,3,5,0.4679,3.35
1987,4,5,0.4066,3.35
1988,1,5,0.3792,3.35
1988,2,5,0.4635,3.35
1988,3,5,0.5242,3.35
1988,4,5,0.4503,3.35
1989,1,5,0.3034,3.35
1989,2,5,0.4638,3.35
1989,3,5,0.4799,3.35
1989,4,5,0.4439,3.35
1990,1,5,0.4847,3.35
1990,2,5,0.4715,3.8
1990,3,5,0.4788,3.8
1990,4,5,0.488,3.8
1991,1,5,0.4098,3.8
1991,2,5,0.4811,4.25
1991,3,5,0.5063,4.25
1991,4,5,0.3571,4.25
1992,1,5,0.3957,4.25
1992,2,5,0.4589,4.25
1992,3,5,0.475,4.25
1992,4,5,0.4366,4.25
1993,1,5,0.3536,4.25
1993,2,5,0.4033,4.25
1993,3,5,0.4965,4.25
